"filename", "language", "Batch", "Properties", "PowerShell", "Python", "reStructuredText", "CSS", "XML", "Markdown", "JavaScript", "C", "comment", "blank", "total"
"d:\PBL_test\main.py", "Python", 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, -1, -4
"d:\PBL_test\venv\Lib\site-packages\Flask-2.2.3.dist-info\LICENSE.rst", "reStructuredText", 0, 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, -6, -29
"d:\PBL_test\venv\Lib\site-packages\Jinja2-3.1.2.dist-info\LICENSE.rst", "reStructuredText", 0, 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, -6, -29
"d:\PBL_test\venv\Lib\site-packages\MarkupSafe-2.1.2.dist-info\LICENSE.rst", "reStructuredText", 0, 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, -6, -29
"d:\PBL_test\venv\Lib\site-packages\Werkzeug-2.2.3.dist-info\LICENSE.rst", "reStructuredText", 0, 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, -6, -29
"d:\PBL_test\venv\Lib\site-packages\_distutils_hack\__init__.py", "Python", 0, 0, 0, -127, 0, 0, 0, 0, 0, 0, -46, -50, -223
"d:\PBL_test\venv\Lib\site-packages\_distutils_hack\override.py", "Python", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -2
"d:\PBL_test\venv\Lib\site-packages\click-8.1.3.dist-info\LICENSE.rst", "reStructuredText", 0, 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, -6, -29
"d:\PBL_test\venv\Lib\site-packages\click\__init__.py", "Python", 0, 0, 0, -66, 0, 0, 0, 0, 0, 0, -6, -2, -74
"d:\PBL_test\venv\Lib\site-packages\click\_compat.py", "Python", 0, 0, 0, -439, 0, 0, 0, 0, 0, 0, -62, -126, -627
"d:\PBL_test\venv\Lib\site-packages\click\_termui_impl.py", "Python", 0, 0, 0, -506, 0, 0, 0, 0, 0, 0, -100, -112, -718
"d:\PBL_test\venv\Lib\site-packages\click\_textwrap.py", "Python", 0, 0, 0, -39, 0, 0, 0, 0, 0, 0, 0, -11, -50
"d:\PBL_test\venv\Lib\site-packages\click\_winconsole.py", "Python", 0, 0, 0, -215, 0, 0, 0, 0, 0, 0, -11, -54, -280
"d:\PBL_test\venv\Lib\site-packages\click\core.py", "Python", 0, 0, 0, -1565, 0, 0, 0, 0, 0, 0, -1008, -426, -2999
"d:\PBL_test\venv\Lib\site-packages\click\decorators.py", "Python", 0, 0, 0, -248, 0, 0, 0, 0, 0, 0, -156, -94, -498
"d:\PBL_test\venv\Lib\site-packages\click\exceptions.py", "Python", 0, 0, 0, -169, 0, 0, 0, 0, 0, 0, -62, -57, -288
"d:\PBL_test\venv\Lib\site-packages\click\formatting.py", "Python", 0, 0, 0, -190, 0, 0, 0, 0, 0, 0, -66, -46, -302
"d:\PBL_test\venv\Lib\site-packages\click\globals.py", "Python", 0, 0, 0, -30, 0, 0, 0, 0, 0, 0, -20, -19, -69
"d:\PBL_test\venv\Lib\site-packages\click\parser.py", "Python", 0, 0, 0, -310, 0, 0, 0, 0, 0, 0, -145, -75, -530
"d:\PBL_test\venv\Lib\site-packages\click\shell_completion.py", "Python", 0, 0, 0, -251, 0, 0, 0, 0, 0, 0, -236, -94, -581
"d:\PBL_test\venv\Lib\site-packages\click\termui.py", "Python", 0, 0, 0, -321, 0, 0, 0, 0, 0, 0, -394, -73, -788
"d:\PBL_test\venv\Lib\site-packages\click\testing.py", "Python", 0, 0, 0, -307, 0, 0, 0, 0, 0, 0, -104, -69, -480
"d:\PBL_test\venv\Lib\site-packages\click\types.py", "Python", 0, 0, 0, -605, 0, 0, 0, 0, 0, 0, -288, -181, -1074
"d:\PBL_test\venv\Lib\site-packages\click\utils.py", "Python", 0, 0, 0, -280, 0, 0, 0, 0, 0, 0, -208, -93, -581
"d:\PBL_test\venv\Lib\site-packages\colorama\__init__.py", "Python", 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, -1, -3, -8
"d:\PBL_test\venv\Lib\site-packages\colorama\ansi.py", "Python", 0, 0, 0, -77, 0, 0, 0, 0, 0, 0, -6, -20, -103
"d:\PBL_test\venv\Lib\site-packages\colorama\ansitowin32.py", "Python", 0, 0, 0, -209, 0, 0, 0, 0, 0, 0, -25, -44, -278
"d:\PBL_test\venv\Lib\site-packages\colorama\initialise.py", "Python", 0, 0, 0, -83, 0, 0, 0, 0, 0, 0, -8, -31, -122
"d:\PBL_test\venv\Lib\site-packages\colorama\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"d:\PBL_test\venv\Lib\site-packages\colorama\tests\ansi_test.py", "Python", 0, 0, 0, -55, 0, 0, 0, 0, 0, 0, -5, -17, -77
"d:\PBL_test\venv\Lib\site-packages\colorama\tests\ansitowin32_test.py", "Python", 0, 0, 0, -243, 0, 0, 0, 0, 0, 0, -8, -44, -295
"d:\PBL_test\venv\Lib\site-packages\colorama\tests\initialise_test.py", "Python", 0, 0, 0, -145, 0, 0, 0, 0, 0, 0, -10, -35, -190
"d:\PBL_test\venv\Lib\site-packages\colorama\tests\isatty_test.py", "Python", 0, 0, 0, -43, 0, 0, 0, 0, 0, 0, -1, -14, -58
"d:\PBL_test\venv\Lib\site-packages\colorama\tests\utils.py", "Python", 0, 0, 0, -41, 0, 0, 0, 0, 0, 0, -1, -8, -50
"d:\PBL_test\venv\Lib\site-packages\colorama\tests\winterm_test.py", "Python", 0, 0, 0, -99, 0, 0, 0, 0, 0, 0, -1, -32, -132
"d:\PBL_test\venv\Lib\site-packages\colorama\win32.py", "Python", 0, 0, 0, -145, 0, 0, 0, 0, 0, 0, -11, -25, -181
"d:\PBL_test\venv\Lib\site-packages\colorama\winterm.py", "Python", 0, 0, 0, -143, 0, 0, 0, 0, 0, 0, -29, -24, -196
"d:\PBL_test\venv\Lib\site-packages\flask\__init__.py", "Python", 0, 0, 0, -63, 0, 0, 0, 0, 0, 0, 0, -9, -72
"d:\PBL_test\venv\Lib\site-packages\flask\__main__.py", "Python", 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, -2, -4
"d:\PBL_test\venv\Lib\site-packages\flask\app.py", "Python", 0, 0, 0, -1027, 0, 0, 0, 0, 0, 0, -1275, -250, -2552
"d:\PBL_test\venv\Lib\site-packages\flask\blueprints.py", "Python", 0, 0, 0, -398, 0, 0, 0, 0, 0, 0, -223, -92, -713
"d:\PBL_test\venv\Lib\site-packages\flask\cli.py", "Python", 0, 0, 0, -636, 0, 0, 0, 0, 0, 0, -223, -196, -1055
"d:\PBL_test\venv\Lib\site-packages\flask\config.py", "Python", 0, 0, 0, -124, 0, 0, 0, 0, 0, 0, -184, -31, -339
"d:\PBL_test\venv\Lib\site-packages\flask\ctx.py", "Python", 0, 0, 0, -192, 0, 0, 0, 0, 0, 0, -185, -62, -439
"d:\PBL_test\venv\Lib\site-packages\flask\debughelpers.py", "Python", 0, 0, 0, -112, 0, 0, 0, 0, 0, 0, -18, -29, -159
"d:\PBL_test\venv\Lib\site-packages\flask\globals.py", "Python", 0, 0, 0, -77, 0, 0, 0, 0, 0, 0, -12, -19, -108
"d:\PBL_test\venv\Lib\site-packages\flask\helpers.py", "Python", 0, 0, 0, -237, 0, 0, 0, 0, 0, 0, -400, -69, -706
"d:\PBL_test\venv\Lib\site-packages\flask\json\__init__.py", "Python", 0, 0, 0, -114, 0, 0, 0, 0, 0, 0, -188, -41, -343
"d:\PBL_test\venv\Lib\site-packages\flask\json\provider.py", "Python", 0, 0, 0, -146, 0, 0, 0, 0, 0, 0, -112, -53, -311
"d:\PBL_test\venv\Lib\site-packages\flask\json\tag.py", "Python", 0, 0, 0, -146, 0, 0, 0, 0, 0, 0, -95, -72, -313
"d:\PBL_test\venv\Lib\site-packages\flask\logging.py", "Python", 0, 0, 0, -31, 0, 0, 0, 0, 0, 0, -25, -19, -75
"d:\PBL_test\venv\Lib\site-packages\flask\scaffold.py", "Python", 0, 0, 0, -341, 0, 0, 0, 0, 0, 0, -490, -106, -937
"d:\PBL_test\venv\Lib\site-packages\flask\sessions.py", "Python", 0, 0, 0, -187, 0, 0, 0, 0, 0, 0, -169, -64, -420
"d:\PBL_test\venv\Lib\site-packages\flask\signals.py", "Python", 0, 0, 0, -35, 0, 0, 0, 0, 0, 0, -9, -13, -57
"d:\PBL_test\venv\Lib\site-packages\flask\templating.py", "Python", 0, 0, 0, -131, 0, 0, 0, 0, 0, 0, -42, -40, -213
"d:\PBL_test\venv\Lib\site-packages\flask\testing.py", "Python", 0, 0, 0, -163, 0, 0, 0, 0, 0, 0, -84, -40, -287
"d:\PBL_test\venv\Lib\site-packages\flask\typing.py", "Python", 0, 0, 0, -56, 0, 0, 0, 0, 0, 0, -15, -10, -81
"d:\PBL_test\venv\Lib\site-packages\flask\views.py", "Python", 0, 0, 0, -59, 0, 0, 0, 0, 0, 0, -103, -27, -189
"d:\PBL_test\venv\Lib\site-packages\flask\wrappers.py", "Python", 0, 0, 0, -63, 0, 0, 0, 0, 0, 0, -78, -31, -172
"d:\PBL_test\venv\Lib\site-packages\itsdangerous-2.1.2.dist-info\LICENSE.rst", "reStructuredText", 0, 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, -6, -29
"d:\PBL_test\venv\Lib\site-packages\itsdangerous\__init__.py", "Python", 0, 0, 0, -18, 0, 0, 0, 0, 0, 0, 0, -2, -20
"d:\PBL_test\venv\Lib\site-packages\itsdangerous\_json.py", "Python", 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, -1, -5, -17
"d:\PBL_test\venv\Lib\site-packages\itsdangerous\encoding.py", "Python", 0, 0, 0, -30, 0, 0, 0, 0, 0, 0, -7, -18, -55
"d:\PBL_test\venv\Lib\site-packages\itsdangerous\exc.py", "Python", 0, 0, 0, -39, 0, 0, 0, 0, 0, 0, -44, -25, -108
"d:\PBL_test\venv\Lib\site-packages\itsdangerous\serializer.py", "Python", 0, 0, 0, -138, 0, 0, 0, 0, 0, 0, -114, -44, -296
"d:\PBL_test\venv\Lib\site-packages\itsdangerous\signer.py", "Python", 0, 0, 0, -121, 0, 0, 0, 0, 0, 0, -88, -49, -258
"d:\PBL_test\venv\Lib\site-packages\itsdangerous\timed.py", "Python", 0, 0, 0, -141, 0, 0, 0, 0, 0, 0, -56, -38, -235
"d:\PBL_test\venv\Lib\site-packages\itsdangerous\url_safe.py", "Python", 0, 0, 0, -50, 0, 0, 0, 0, 0, 0, -12, -19, -81
"d:\PBL_test\venv\Lib\site-packages\jinja2\__init__.py", "Python", 0, 0, 0, -32, 0, 0, 0, 0, 0, 0, -4, -2, -38
"d:\PBL_test\venv\Lib\site-packages\jinja2\_identifier.py", "Python", 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, -1, -2, -7
"d:\PBL_test\venv\Lib\site-packages\jinja2\async_utils.py", "Python", 0, 0, 0, -53, 0, 0, 0, 0, 0, 0, -5, -27, -85
"d:\PBL_test\venv\Lib\site-packages\jinja2\bccache.py", "Python", 0, 0, 0, -211, 0, 0, 0, 0, 0, 0, -145, -51, -407
"d:\PBL_test\venv\Lib\site-packages\jinja2\compiler.py", "Python", 0, 0, 0, -1420, 0, 0, 0, 0, 0, 0, -247, -291, -1958
"d:\PBL_test\venv\Lib\site-packages\jinja2\constants.py", "Python", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -19, -1, -21
"d:\PBL_test\venv\Lib\site-packages\jinja2\debug.py", "Python", 0, 0, 0, -111, 0, 0, 0, 0, 0, 0, -49, -32, -192
"d:\PBL_test\venv\Lib\site-packages\jinja2\defaults.py", "Python", 0, 0, 0, -39, 0, 0, 0, 0, 0, 0, -3, -7, -49
"d:\PBL_test\venv\Lib\site-packages\jinja2\environment.py", "Python", 0, 0, 0, -926, 0, 0, 0, 0, 0, 0, -554, -188, -1668
"d:\PBL_test\venv\Lib\site-packages\jinja2\exceptions.py", "Python", 0, 0, 0, -82, 0, 0, 0, 0, 0, 0, -44, -41, -167
"d:\PBL_test\venv\Lib\site-packages\jinja2\ext.py", "Python", 0, 0, 0, -549, 0, 0, 0, 0, 0, 0, -180, -131, -860
"d:\PBL_test\venv\Lib\site-packages\jinja2\filters.py", "Python", 0, 0, 0, -879, 0, 0, 0, 0, 0, 0, -684, -278, -1841
"d:\PBL_test\venv\Lib\site-packages\jinja2\idtracking.py", "Python", 0, 0, 0, -231, 0, 0, 0, 0, 0, 0, -16, -72, -319
"d:\PBL_test\venv\Lib\site-packages\jinja2\lexer.py", "Python", 0, 0, 0, -592, 0, 0, 0, 0, 0, 0, -157, -118, -867
"d:\PBL_test\venv\Lib\site-packages\jinja2\loaders.py", "Python", 0, 0, 0, -351, 0, 0, 0, 0, 0, 0, -217, -94, -662
"d:\PBL_test\venv\Lib\site-packages\jinja2\meta.py", "Python", 0, 0, 0, -47, 0, 0, 0, 0, 0, 0, -48, -17, -112
"d:\PBL_test\venv\Lib\site-packages\jinja2\nativetypes.py", "Python", 0, 0, 0, -81, 0, 0, 0, 0, 0, 0, -21, -29, -131
"d:\PBL_test\venv\Lib\site-packages\jinja2\nodes.py", "Python", 0, 0, 0, -628, 0, 0, 0, 0, 0, 0, -275, -302, -1205
"d:\PBL_test\venv\Lib\site-packages\jinja2\optimizer.py", "Python", 0, 0, 0, -25, 0, 0, 0, 0, 0, 0, -13, -10, -48
"d:\PBL_test\venv\Lib\site-packages\jinja2\parser.py", "Python", 0, 0, 0, -844, 0, 0, 0, 0, 0, 0, -86, -103, -1033
"d:\PBL_test\venv\Lib\site-packages\jinja2\runtime.py", "Python", 0, 0, 0, -618, 0, 0, 0, 0, 0, 0, -254, -182, -1054
"d:\PBL_test\venv\Lib\site-packages\jinja2\sandbox.py", "Python", 0, 0, 0, -243, 0, 0, 0, 0, 0, 0, -130, -56, -429
"d:\PBL_test\venv\Lib\site-packages\jinja2\tests.py", "Python", 0, 0, 0, -106, 0, 0, 0, 0, 0, 0, -97, -53, -256
"d:\PBL_test\venv\Lib\site-packages\jinja2\utils.py", "Python", 0, 0, 0, -356, 0, 0, 0, 0, 0, 0, -270, -130, -756
"d:\PBL_test\venv\Lib\site-packages\jinja2\visitor.py", "Python", 0, 0, 0, -45, 0, 0, 0, 0, 0, 0, -31, -17, -93
"d:\PBL_test\venv\Lib\site-packages\markupsafe\__init__.py", "Python", 0, 0, 0, -170, 0, 0, 0, 0, 0, 0, -58, -68, -296
"d:\PBL_test\venv\Lib\site-packages\markupsafe\_native.py", "Python", 0, 0, 0, -21, 0, 0, 0, 0, 0, 0, -32, -11, -64
"d:\PBL_test\venv\Lib\site-packages\markupsafe\_speedups.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, -278, -6, -37, -321
"d:\PBL_test\venv\Lib\site-packages\markupsafe\_speedups.pyi", "Python", 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, -3, -10
"d:\PBL_test\venv\Lib\site-packages\pip\__init__.py", "Python", 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, -4, -5, -14
"d:\PBL_test\venv\Lib\site-packages\pip\__main__.py", "Python", 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, -13, -5, -32
"d:\PBL_test\venv\Lib\site-packages\pip\__pip-runner__.py", "Python", 0, 0, 0, -25, 0, 0, 0, 0, 0, 0, -9, -17, -51
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\__init__.py", "Python", 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, -7, -6, -20
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\build_env.py", "Python", 0, 0, 0, -216, 0, 0, 0, 0, 0, 0, -57, -38, -311
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\cache.py", "Python", 0, 0, 0, -185, 0, 0, 0, 0, 0, 0, -61, -48, -294
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\cli\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -2, -5
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\cli\autocompletion.py", "Python", 0, 0, 0, -118, 0, 0, 0, 0, 0, 0, -37, -17, -172
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\cli\base_command.py", "Python", 0, 0, 0, -157, 0, 0, 0, 0, 0, 0, -22, -38, -217
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py", "Python", 0, 0, 0, -807, 0, 0, 0, 0, 0, 0, -97, -146, -1050
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\cli\command_context.py", "Python", 0, 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, -8, -28
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\cli\main.py", "Python", 0, 0, 0, -28, 0, 0, 0, 0, 0, 0, -28, -15, -71
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\cli\main_parser.py", "Python", 0, 0, 0, -79, 0, 0, 0, 0, 0, 0, -27, -29, -135
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\cli\parser.py", "Python", 0, 0, 0, -196, 0, 0, 0, 0, 0, 0, -49, -50, -295
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\cli\progress_bars.py", "Python", 0, 0, 0, -55, 0, 0, 0, 0, 0, 0, -4, -10, -69
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\cli\req_command.py", "Python", 0, 0, 0, -361, 0, 0, 0, 0, 0, 0, -78, -64, -503
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\cli\spinners.py", "Python", 0, 0, 0, -114, 0, 0, 0, 0, 0, 0, -18, -28, -160
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\cli\status_codes.py", "Python", 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, -1, -7
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\commands\__init__.py", "Python", 0, 0, 0, -106, 0, 0, 0, 0, 0, 0, -14, -13, -133
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\commands\cache.py", "Python", 0, 0, 0, -134, 0, 0, 0, 0, 0, 0, -47, -43, -224
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\commands\check.py", "Python", 0, 0, 0, -41, 0, 0, 0, 0, 0, 0, -2, -11, -54
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\commands\completion.py", "Python", 0, 0, 0, -68, 0, 0, 0, 0, 0, 0, -49, -10, -127
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\commands\configuration.py", "Python", 0, 0, 0, -196, 0, 0, 0, 0, 0, 0, -47, -40, -283
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\commands\debug.py", "Python", 0, 0, 0, -141, 0, 0, 0, 0, 0, 0, -14, -45, -200
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\commands\download.py", "Python", 0, 0, 0, -106, 0, 0, 0, 0, 0, 0, -18, -26, -150
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\commands\freeze.py", "Python", 0, 0, 0, -80, 0, 0, 0, 0, 0, 0, -6, -12, -98
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\commands\hash.py", "Python", 0, 0, 0, -42, 0, 0, 0, 0, 0, 0, -7, -11, -60
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\commands\help.py", "Python", 0, 0, 0, -27, 0, 0, 0, 0, 0, 0, -3, -12, -42
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\commands\index.py", "Python", 0, 0, 0, -99, 0, 0, 0, 0, 0, 0, -12, -28, -139
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\commands\inspect.py", "Python", 0, 0, 0, -77, 0, 0, 0, 0, 0, 0, -10, -11, -98
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\commands\install.py", "Python", 0, 0, 0, -690, 0, 0, 0, 0, 0, 0, -67, -104, -861
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\commands\list.py", "Python", 0, 0, 0, -280, 0, 0, 0, 0, 0, 0, -31, -55, -366
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\commands\search.py", "Python", 0, 0, 0, -135, 0, 0, 0, 0, 0, 0, -9, -31, -175
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\commands\show.py", "Python", 0, 0, 0, -142, 0, 0, 0, 0, 0, 0, -15, -27, -184
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\commands\uninstall.py", "Python", 0, 0, 0, -84, 0, 0, 0, 0, 0, 0, -11, -12, -107
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\commands\wheel.py", "Python", 0, 0, 0, -156, 0, 0, 0, 0, 0, 0, -20, -28, -204
"d:\PBL_test\venv\Lib\site-packages\pip\_internal\configuration.py", "Python", 0, 0, 0, -227, 0, 0, 0, 0, 0, 0, -82, -66, -375
