"filename", "language", "HTML", "Python", "CSS", "comment", "blank", "total"
"d:\PBL_test\event_name\__init__.py", "Python", 0, 21, 0, 0, 9, 30
"d:\PBL_test\event_name\forms.py", "Python", 0, 50, 0, 79, 18, 147
"d:\PBL_test\event_name\models.py", "Python", 0, 41, 0, 47, 26, 114
"d:\PBL_test\event_name\routes.py", "Python", 0, 237, 0, 52, 83, 372
"d:\PBL_test\event_name\static\main.css", "CSS", 0, 0, 189, 20, 47, 256
"d:\PBL_test\event_name\templates\about.html", "HTML", 55, 0, 0, 1, 8, 64
"d:\PBL_test\event_name\templates\account.html", "HTML", 62, 0, 0, 0, 6, 68
"d:\PBL_test\event_name\templates\base.html", "HTML", 29, 0, 0, 35, 3, 67
"d:\PBL_test\event_name\templates\create_event.html", "HTML", 62, 0, 0, 0, 0, 62
"d:\PBL_test\event_name\templates\customer_care.html", "HTML", 149, 0, 0, 0, 7, 156
"d:\PBL_test\event_name\templates\email.html", "HTML", 26, 0, 0, 0, 2, 28
"d:\PBL_test\event_name\templates\enrolled_events.html", "HTML", 49, 0, 0, 0, 6, 55
"d:\PBL_test\event_name\templates\enrollment.html", "HTML", 4, 0, 0, 0, 1, 5
"d:\PBL_test\event_name\templates\event.html", "HTML", 58, 0, 0, 0, 5, 63
"d:\PBL_test\event_name\templates\event_info.html", "HTML", 81, 0, 0, 0, 6, 87
"d:\PBL_test\event_name\templates\event_status.html", "HTML", 32, 0, 0, 0, 8, 40
"d:\PBL_test\event_name\templates\home.html", "HTML", 70, 0, 0, 0, 8, 78
"d:\PBL_test\event_name\templates\layout.html", "HTML", 107, 0, 0, 32, 9, 148
"d:\PBL_test\event_name\templates\login.html", "HTML", 50, 0, 0, 0, 5, 55
"d:\PBL_test\event_name\templates\org_events.html", "HTML", 54, 0, 0, 0, 7, 61
"d:\PBL_test\event_name\templates\register.html", "HTML", 89, 0, 0, 0, 6, 95
"d:\PBL_test\event_name\templates\search.html", "HTML", 78, 0, 0, 0, 7, 85
"d:\PBL_test\event_name\utils.py", "Python", 0, 0, 0, 15, 2, 17
"Total", "-", 1055, 349, 189, 281, 279, 2153
